ticker,name,sector,industry
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail
AAPL,Apple Inc.,Technology,Consumer Electronics
AAXN,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense
ABB,ABB Ltd,Industrials,Specialty Industrial Machinery
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General
ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology
ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers
ABMD,"Abiomed, Inc.",Healthcare,Medical Devices
ABNB,"Airbnb, Inc.",Communication Services,Internet Content & Information
ABT,Abbott Laboratories,Healthcare,Medical Devices
ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified
ACN,Accenture plc,Technology,Information Technology Services
ADBE,Adobe Inc.,Technology,Software - Infrastructure
ADI,"Analog Devices, Inc.",Technology,Semiconductors
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products
ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services
ADSK,"Autodesk, Inc.",Technology,Software - Application
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric
AES,The AES Corporation,Utilities,Utilities - Diversified
AFL,Aflac Incorporated,Financial,Insurance - Life
AFRM,"Affirm Holdings, Inc.",Technology,Information Technology Services
AGR,"Avangrid, Inc.",Utilities,Utilities - Regulated Electric
AI,"C3.ai, Inc.",Technology,Information Technology Services
AIG,"American International Group, Inc.",Financial,Insurance - Diversified
AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals
ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies
ALGN,"Align Technology, Inc.",Healthcare,Medical Devices
ALL,The Allstate Corporation,Financial,Insurance - Property & Casualty
ALLE,Allegion plc,Industrials,Security & Protection Services
ALLY,Ally Financial Inc.,Financial,Credit Services
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology
ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General
AMP,"Ameriprise Financial, Inc.",Financial,Asset Management
AMT,American Tower Corporation (REIT),Real Estate,REIT - Specialty
AMX,"America Movil, S.A.B. de C.V.",Communication Services,Telecom Services
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail
ANET,"Arista Networks, Inc.",Technology,Computer Hardware
ANSS,"ANSYS, Inc.",Technology,Software - Application
ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans
AON,Aon Plc,Financial,Insurance Brokers
APD,"Air Products and Chemicals, Inc.",Basic Materials,Chemicals
APH,Amphenol Corporation,Technology,Electronic Components
APO,"Apollo Global Management, Inc.",Financial,Asset Management
APPN,Appian Corporation,Technology,Software - Infrastructure
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts
AQN,Algonquin Power & Utilities Corp.,Utilities,Utilities - Renewable
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office
ARES,Ares Management Corporation,Financial,Asset Management
ARGX,argenx SE,Healthcare,Biotechnology
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials
ASX,"ASE Technology Holding Co., Ltd.",Technology,Semiconductors
ATHM,Autohome Inc.,Communication Services,Internet Content & Information
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas
ATUS,"Altice USA, Inc.",Communication Services,Telecom Services
ATVI,"Activision Blizzard, Inc.",Communication Services,Electronic Gaming & Multimedia
AU,AngloGold Ashanti Limited,Basic Materials,Gold
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential
AVGO,Broadcom Inc.,Technology,Semiconductors
AVLR,"Avalara, Inc.",Technology,Software - Application
AVTR,"Avantor, Inc.",Basic Materials,Specialty Chemicals
AVY,Avery Dennison Corporation,Industrials,Business Equipment & Supplies
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water
AXP,American Express Company,Financial,Credit Services
AZN,AstraZeneca PLC,Healthcare,Drug Manufacturers - General
AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail
BA,The Boeing Company,Industrials,Aerospace & Defense
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Internet Retail
BAC,Bank of America Corporation,Financial,Banks - Diversified
BAH,Booz Allen Hamilton Holding Corporation,Industrials,Consulting Services
BAM,Brookfield Asset Management Inc.,Financial,Asset Management
BAP,Credicorp Ltd.,Financial,Banks - Regional
BATRA,The Liberty Braves Group,Communication Services,Entertainment
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies
BBD,Banco Bradesco S.A.,Financial,Banks - Regional
BBL,BHP Group,Basic Materials,Other Industrial Metals & Mining
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",Financial,Banks - Diversified
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail
BCE,BCE Inc.,Communication Services,Telecom Services
BCH,Banco de Chile,Financial,Banks - Regional
BCS,Barclays PLC,Financial,Banks - Diversified
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies
BEKE,KE Holdings Inc.,Real Estate,Real Estate Services
BEN,"Franklin Resources, Inc.",Financial,Asset Management
BEP,Brookfield Renewable Partners L.P.,Utilities,Utilities - Renewable
BEPC,Brookfield Renewable Corporation,Utilities,Utilities - Renewable
BF-A,Brown-Forman Corporation,Consumer Defensive,Beverages - Wineries & Distilleries
BF-B,Brown-Forman Corporation,Consumer Defensive,Beverages - Wineries & Distilleries
BGNE,"BeiGene, Ltd.",Healthcare,Biotechnology
BHP,BHP Group,Basic Materials,Other Industrial Metals & Mining
BIDU,"Baidu, Inc.",Communication Services,Internet Content & Information
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General
BILI,Bilibili Inc.,Communication Services,Electronic Gaming & Multimedia
BILL,"Bill.com Holdings, Inc.",Technology,Software - Application
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Devices
BIP,Brookfield Infrastructure Partners L.P.,Utilities,Utilities - Diversified
BK,The Bank of New York Mellon Corporation,Financial,Asset Management
BKI,"Black Knight, Inc.",Technology,Software - Infrastructure
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services
BLDP,Ballard Power Systems Inc.,Industrials,Specialty Industrial Machinery
BLK,"BlackRock, Inc.",Financial,Asset Management
BLL,Ball Corporation,Consumer Cyclical,Packaging & Containers
BMO,Bank of Montreal,Financial,Banks - Diversified
BMRN,BioMarin Pharmaceutical Inc.,Healthcare,Biotechnology
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General
BNS,The Bank of Nova Scotia,Financial,Banks - Diversified
BNTX,BioNTech SE,Healthcare,Biotechnology
BP,BP p.l.c.,Energy,Oil & Gas Integrated
BPY,Brookfield Property Partners L.P.,Real Estate,Real Estate Services
BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services
BRK-A,Berkshire Hathaway Inc.,Financial,Insurance - Diversified
BRK-B,Berkshire Hathaway Inc.,Financial,Insurance - Diversified
BRO,"Brown & Brown, Inc.",Financial,Insurance Brokers
BSAC,Banco Santander-Chile,Financial,Banks - Regional
BSBR,Banco Santander (Brasil) S.A.,Financial,Banks - Regional
BSX,Boston Scientific Corporation,Healthcare,Medical Devices
BSY,"Bentley Systems, Incorporated",Technology,Software - Application
BTI,British American Tobacco p.l.c.,Consumer Defensive,Tobacco
BUD,Anheuser-Busch InBev SA/NV,Consumer Defensive,Beverages - Brewers
BURL,"Burlington Stores, Inc.",Consumer Cyclical,Apparel Retail
BWA,BorgWarner Inc.,Consumer Cyclical,Auto Parts
BX,The Blackstone Group Inc.,Financial,Asset Management
BXP,"Boston Properties, Inc.",Real Estate,REIT - Office
C,Citigroup Inc.,Financial,Banks - Diversified
CABO,"Cable One, Inc.",Communication Services,Telecom Services
CAG,"Conagra Brands, Inc.",Consumer Defensive,Packaged Foods
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution
CAJ,Canon Inc.,Technology,Computer Hardware
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery
CB,Chubb Limited,Financial,Insurance - Property & Casualty
CBOE,"Cboe Global Markets, Inc.",Financial,Financial Data & Stock Exchanges
CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services
CCC,Clarivate Plc,Technology,Information Technology Services
CCEP,Coca-Cola European Partners plc,Consumer Defensive,Beverages - Non-Alcoholic
CCI,Crown Castle International Corp. (REIT),Real Estate,REIT - Specialty
CCK,"Crown Holdings, Inc.",Consumer Cyclical,Packaging & Containers
CCL,Carnival Corporation & Plc,Consumer Cyclical,Travel Services
CDAY,Ceridian HCM Holding Inc.,Technology,Software - Application
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application
CDW,CDW Corporation,Technology,Information Technology Services
CE,Celanese Corporation,Basic Materials,Chemicals
CEA,China Eastern Airlines Corporation Limited,Industrials,Airlines
CEO,CNOOC Limited,Energy,Oil & Gas E&P
CERN,Cerner Corporation,Healthcare,Health Information Services
CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional
CG,The Carlyle Group Inc.,Financial,Asset Management
CGC,Canopy Growth Corporation,Healthcare,Drug Manufacturers - Specialty & Generic
CGNX,Cognex Corporation,Technology,Scientific & Technical Instruments
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products
CHGG,"Chegg, Inc.",Consumer Defensive,Education & Training Services
CHKP,Check Point Software Technologies Ltd.,Technology,Software - Application
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics
CHT,"Chunghwa Telecom Co., Ltd.",Communication Services,Telecom Services
CHTR,"Charter Communications, Inc.",Communication Services,Entertainment
CHWY,"Chewy, Inc.",Consumer Cyclical,Internet Retail
CI,Cigna Corporation,Healthcare,Healthcare Plans
CINF,Cincinnati Financial Corporation,Financial,Insurance - Property & Casualty
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products
CLX,The Clorox Company,Consumer Defensive,Household & Personal Products
CM,Canadian Imperial Bank of Commerce,Financial,Banks - Diversified
CMCSA,Comcast Corporation,Communication Services,Entertainment
CME,CME Group Inc.,Financial,Financial Data & Stock Exchanges
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric
CNA,CNA Financial Corporation,Financial,Insurance - Property & Casualty
CNC,Centene Corporation,Healthcare,Healthcare Plans
CNHI,CNH Industrial N.V.,Industrials,Farm & Heavy Construction Machinery
CNI,Canadian National Railway Company,Industrials,Railroads
CNP,"CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Gas
CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas E&P
COF,Capital One Financial Corporation,Financial,Credit Services
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies
COP,ConocoPhillips,Energy,Oil & Gas E&P
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores
COUP,Coupa Software Incorporated,Technology,Software - Application
CP,Canadian Pacific Railway Limited,Industrials,Railroads
CPB,Campbell Soup Company,Consumer Defensive,Packaged Foods
CPRT,"Copart, Inc.",Industrials,Specialty Business Services
CQP,"Cheniere Energy Partners, L.P.",Energy,Oil & Gas Midstream
CREE,"Cree, Inc.",Technology,Semiconductors
CRH,CRH plc,Basic Materials,Building Materials
CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research
CRM,"salesforce.com, inc.",Technology,Software - Application
CRSP,CRISPR Therapeutics AG,Healthcare,Biotechnology
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure
CS,Credit Suisse Group AG,Financial,Banks - Diversified
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services
CSX,CSX Corporation,Industrials,Railroads
CTAS,Cintas Corporation,Industrials,Specialty Business Services
CTLT,"Catalent, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs
CTXS,"Citrix Systems, Inc.",Technology,Software - Application
CUK,Carnival Corporation & Plc,Consumer Cyclical,Leisure
CVAC,CureVac N.V.,Healthcare,Biotechnology
CVE,Cenovus Energy Inc.,Energy,Oil & Gas Integrated
CVNA,Carvana Co.,Consumer Cyclical,Internet Retail
CVS,CVS Health Corporation,Healthcare,Healthcare Plans
CVX,Chevron Corporation,Energy,Oil & Gas Integrated
CXO,Concho Resources Inc.,Energy,Oil & Gas E&P
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos
D,"Dominion Energy, Inc.",Utilities,Utilities - Diversified
DAL,"Delta Air Lines, Inc.",Industrials,Airlines
DAR,Darling Ingredients Inc.,Consumer Defensive,Packaged Foods
DASH,"DoorDash, Inc.",Communication Services,Internet Content & Information
DB,Deutsche Bank Aktiengesellschaft,Financial,Banks - Regional
DD,"DuPont de Nemours, Inc.",Basic Materials,Chemicals
DDOG,"Datadog, Inc.",Technology,Software - Application
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery
DELL,Dell Technologies Inc.,Technology,Computer Hardware
DEO,Diageo plc,Consumer Defensive,Beverages - Wineries & Distilleries
DFS,Discover Financial Services,Financial,Credit Services
DG,Dollar General Corporation,Consumer Defensive,Discount Stores
DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction
DHR,Danaher Corporation,Healthcare,Diagnostics & Research
DIS,The Walt Disney Company,Communication Services,Entertainment
DISCA,"Discovery, Inc.",Communication Services,Entertainment
DISH,DISH Network Corporation,Communication Services,Entertainment
DKNG,DraftKings Inc.,Financial,Shell Companies
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Office
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores
DNB,"Dun & Bradstreet Holdings, Inc.",Technology,Information Technology Services
DOCU,"DocuSign, Inc.",Technology,Software - Application
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery
DOW,Dow Inc.,Basic Materials,Chemicals
DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants
DRE,Duke Realty Corporation,Real Estate,REIT - Industrial
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants
DT,"Dynatrace, Inc.",Technology,Software - Application
DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric
DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric
DVA,DaVita Inc.,Healthcare,Medical Care Facilities
DXCM,"DexCom, Inc.",Healthcare,Diagnostics & Research
E,Eni S.p.A.,Energy,Oil & Gas Integrated
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail
EC,Ecopetrol S.A.,Energy,Oil & Gas Integrated
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals
ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric
EDU,New Oriental Education & Technology Group Inc.,Consumer Defensive,Education & Training Services
EFX,Equifax Inc.,Industrials,Consulting Services
EIX,Edison International,Utilities,Utilities - Regulated Electric
EL,The Estee Lauder Companies Inc.,Consumer Defensive,Household & Personal Products
ELAN,Elanco Animal Health Incorporated,Healthcare,Drug Manufacturers - Specialty & Generic
ELS,"Equity LifeStyle Properties, Inc.",Real Estate,REIT - Residential
EMN,Eastman Chemical Company,Basic Materials,Chemicals
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery
ENB,Enbridge Inc.,Energy,Oil & Gas Midstream
ENIA,Enel Americas S.A.,Utilities,Utilities - Regulated Electric
ENPH,"Enphase Energy, Inc.",Technology,Solar
ENTG,"Entegris, Inc.",Technology,Semiconductor Equipment & Materials
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P
EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services
EPD,Enterprise Products Partners L.P.,Energy,Oil & Gas Midstream
EQH,"Equitable Holdings, Inc.",Financial,Insurance - Diversified
EQIX,"Equinix, Inc. (REIT)",Real Estate,REIT - Specialty
EQNR,Equinor ASA,Energy,Oil & Gas Integrated
EQR,Equity Residential,Real Estate,REIT - Residential
ERIC,Telefonaktiebolaget LM Ericsson (publ),Technology,Communication Equipment
ERIE,Erie Indemnity Company,Financial,Insurance Brokers
ES,Eversource Energy,Utilities,Utilities - Regulated Electric
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential
ESTC,Elastic N.V.,Technology,Software - Application
ET,Energy Transfer LP,Energy,Oil & Gas Midstream
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery
ETR,Entergy Corporation,Utilities,Utilities - Diversified
ETSY,"Etsy, Inc.",Consumer Cyclical,Internet Retail
EVRG,"Evergy, Inc.",Utilities,Utilities - Regulated Electric
EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices
EXAS,Exact Sciences Corporation,Healthcare,Diagnostics & Research
EXC,Exelon Corporation,Utilities,Utilities - Diversified
EXPD,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics
EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services
EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P
FAST,Fastenal Company,Industrials,Industrial Distribution
FB,"Facebook, Inc.",Communication Services,Internet Content & Information
FBHS,"Fortune Brands Home & Security, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances"
FCAU,Fiat Chrysler Automobiles N.V.,Consumer Cyclical,Auto Manufacturers
FCX,Freeport-McMoRan Inc.,Basic Materials,Copper
FDS,FactSet Research Systems Inc.,Financial,Financial Data & Stock Exchanges
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics
FE,FirstEnergy Corp.,Utilities,Utilities - Diversified
FFIV,"F5 Networks, Inc.",Technology,Software - Infrastructure
FICO,Fair Isaac Corporation,Technology,Software - Application
FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services
FISV,"Fiserv, Inc.",Technology,Information Technology Services
FITB,Fifth Third Bancorp,Financial,Banks - Regional
FIVE,"Five Below, Inc.",Consumer Cyclical,Specialty Retail
FIVN,"Five9, Inc.",Technology,Software - Infrastructure
FLEX,Flex Ltd.,Technology,Electronic Components
FLT,"FLEETCOR Technologies, Inc.",Technology,Information Technology Services
FMC,FMC Corporation,Basic Materials,Agricultural Inputs
FMS,Fresenius Medical Care AG & Co. KGaA,Healthcare,Medical Care Facilities
FMX,"Fomento Economico Mexicano, S.A.B. de C.V.",Consumer Defensive,Beverages - Brewers
FND,"Floor & Decor Holdings, Inc.",Consumer Cyclical,Home Improvement Retail
FNF,"Fidelity National Financial, Inc.",Financial,Insurance - Specialty
FNV,Franco-Nevada Corporation,Basic Materials,Gold
FOX,Fox Corporation,Communication Services,Broadcasting
FOXA,Fox Corporation,Communication Services,Broadcasting
FRC,First Republic Bank,Financial,Banks - Regional
FSLR,"First Solar, Inc.",Technology,Solar
FSLY,"Fastly, Inc.",Technology,Software - Application
FTCH,Farfetch Limited,Consumer Cyclical,Internet Retail
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure
FTS,Fortis Inc.,Utilities,Utilities - Regulated Electric
FTV,Fortive Corporation,Technology,Scientific & Technical Instruments
FUTU,Futu Holdings Limited,Financial,Capital Markets
FWONA,Formula One Group,Communication Services,Broadcasting
GD,General Dynamics Corporation,Industrials,Aerospace & Defense
GDDY,GoDaddy Inc.,Technology,Software - Infrastructure
GDRX,"GoodRx Holdings, Inc.",Healthcare,Health Information Services
GDS,GDS Holdings Limited,Technology,Software - Infrastructure
GE,General Electric Company,Industrials,Specialty Industrial Machinery
GGG,Graco Inc.,Industrials,Specialty Industrial Machinery
GH,"Guardant Health, Inc.",Healthcare,Diagnostics & Research
GIB,CGI Inc.,Technology,Information Technology Services
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods
GL,Globe Life Inc.,Financial,Insurance - Life
GLW,Corning Incorporated,Technology,Electronic Components
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers
GMAB,Genmab A/S,Healthcare,Biotechnology
GNRC,Generac Holdings Inc.,Industrials,Specialty Industrial Machinery
GOLD,Barrick Gold Corporation,Basic Materials,Gold
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information
GPC,Genuine Parts Company,Consumer Cyclical,Specialty Retail
GPN,Global Payments Inc.,Industrials,Specialty Business Services
GRFS,"Grifols, S.A.",Healthcare,Drug Manufacturers - General
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments
GS,"The Goldman Sachs Group, Inc.",Financial,Capital Markets
GSK,GlaxoSmithKline plc,Healthcare,Drug Manufacturers - General
GSX,GSX Techedu Inc.,Consumer Defensive,Education & Training Services
GWRE,"Guidewire Software, Inc.",Technology,Software - Application
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution
HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure
HBAN,Huntington Bancshares Incorporated,Financial,Banks - Regional
HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail
HDB,HDFC Bank Limited,Financial,Banks - Regional
HEI,HEICO Corporation,Industrials,Aerospace & Defense
HES,Hess Corporation,Energy,Oil & Gas E&P
HIG,"The Hartford Financial Services Group, Inc.",Financial,Insurance - Diversified
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging
HMC,"Honda Motor Co., Ltd.",Consumer Cyclical,Auto Manufacturers
HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies
HON,Honeywell International Inc.,Industrials,Specialty Industrial Machinery
HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment
HPQ,HP Inc.,Technology,Computer Hardware
HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods
HSBC,HSBC Holdings plc,Financial,Banks - Diversified
HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel
HSY,The Hershey Company,Consumer Defensive,Confectioners
HTHT,Huazhu Group Limited,Consumer Cyclical,Lodging
HUBS,"HubSpot, Inc.",Technology,Software - Application
HUM,Humana Inc.,Healthcare,Healthcare Plans
HWM,Howmet Aerospace Inc.,Industrials,Specialty Industrial Machinery
HZNP,Horizon Therapeutics Public Limited Company,Healthcare,Drug Manufacturers - General
IAC,IAC/InterActiveCorp,Communication Services,Internet Content & Information
IBKR,"Interactive Brokers Group, Inc.",Financial,Capital Markets
IBM,International Business Machines Corporation,Technology,Information Technology Services
IBN,ICICI Bank Limited,Financial,Banks - Regional
ICE,"Intercontinental Exchange, Inc.",Financial,Financial Data & Stock Exchanges
ICLR,ICON Public Limited Company,Healthcare,Diagnostics & Research
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research
IEP,Icahn Enterprises L.P.,Industrials,Conglomerates
IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery
IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals
IHG,InterContinental Hotels Group PLC,Consumer Cyclical,Lodging
ILMN,"Illumina, Inc.",Healthcare,Diagnostics & Research
IMO,Imperial Oil Limited,Energy,Oil & Gas Integrated
INCY,Incyte Corporation,Healthcare,Biotechnology
INFO,IHS Markit Ltd.,Industrials,Consulting Services
INFY,Infosys Limited,Technology,Information Technology Services
ING,ING Groep N.V.,Financial,Banks - Diversified
INTC,Intel Corporation,Technology,Semiconductors
INTU,Intuit Inc.,Technology,Software - Application
INVH,Invitation Homes Inc.,Real Estate,REIT - Residential
IP,International Paper Company,Consumer Cyclical,Packaging & Containers
IPGP,IPG Photonics Corporation,Technology,Semiconductor Equipment & Materials
IQ,"iQIYI, Inc.",Communication Services,Internet Content & Information
IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research
IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies
IT,"Gartner, Inc.",Technology,Information Technology Services
ITUB,Itau Unibanco Holding S.A.,Financial,Banks - Regional
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery
IX,ORIX Corporation,Financial,Credit Services
J,Jacobs Engineering Group Inc.,Industrials,Engineering & Construction
JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,Integrated Freight & Logistics
JCI,Johnson Controls International plc,Industrials,Engineering & Construction
JD,"JD.com, Inc.",Consumer Cyclical,Internet Retail
JHX,James Hardie Industries plc,Basic Materials,Building Materials
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General
JPM,JPMorgan Chase & Co.,Financial,Banks - Diversified
K,Kellogg Company,Consumer Defensive,Packaged Foods
KB,KB Financial Group Inc.,Financial,Banks - Regional
KC,Kingsoft Cloud Holdings Limited,Technology,Software - Application
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic
KEP,Korea Electric Power Corporation,Utilities,Utilities - Regulated Electric
